iter	Passed	Remaining
402	14099	13889
403	14133	13853
404	14167	13818
405	14200	13780
406	14230	13741
407	14262	13703
408	14295	13666
409	14337	13637
410	14370	13600
411	14398	13559
412	14430	13522
413	14461	13483
414	14492	13445
415	14524	13407
416	14556	13369
417	14589	13332
418	14624	13298
419	14659	13263
420	14692	13227
421	14728	13192
422	14765	13159
423	14798	13123
424	14840	13094
425	14875	13059
426	14908	13023
427	14942	12987
428	14978	12953
429	15009	12915
430	15042	12878
431	15078	12844
432	15110	12807
433	15144	12771
434	15176	12734
435	15207	12696
436	15241	12660
437	15273	12623
438	15311	12591
439	15347	12557
440	15379	12519
441	15412	12483
442	15447	12448
443	15485	12416
444	15518	12380
445	15553	12345
446	15590	12311
447	15626	12277
448	15665	12246
449	15699	12210
450	15733	12175
451	15768	12140
452	15802	12104
453	15835	12068
454	15869	12032
455	15905	11998
456	15942	11965
457	15971	11926
458	16006	11891
459	16041	11857
460	16077	11822
461	16111	11787
462	16150	11755
463	16184	11719
464	16220	11686
465	16256	11651
466	16292	11617
467	16330	11584
468	16366	11550
469	16405	11519
470	16438	11482
471	16472	11447
472	16509	11413
473	16543	11377
474	16580	11344
475	16615	11309
476	16653	11276
477	16688	11242
478	16725	11208
479	16761	11174
480	16798	11140
481	16835	11107
482	16868	11071
483	16904	11036
484	16941	11003
485	16978	10969
486	17016	10936
487	17056	10904
488	17095	10872
489	17136	10841
490	17172	10807
491	17206	10771
492	17239	10735
493	17273	10699
494	17306	10663
495	17341	10628
496	17375	10593
497	17410	10558
498	17446	10523
499	17482	10489
500	17517	10454
501	17548	10417
502	17582	10381
503	17619	10347
504	17656	10314
505	17686	10276
506	17721	10241
507	17755	10205
508	17787	10169
509	17822	10134
510	17860	10101
511	17898	10067
512	17934	10033
513	17965	9996
514	18001	9962
515	18036	9926
516	18065	9888
517	18099	9853
518	18131	9816
519	18163	9780
520	18197	9744
521	18235	9711
522	18268	9675
523	18304	9641
524	18337	9605
525	18374	9571
526	18412	9538
527	18450	9504
528	18483	9468
529	18517	9433
530	18553	9399
531	18589	9364
532	18624	9329
533	18660	9295
534	18691	9258
535	18725	9223
536	18763	9189
537	18803	9157
538	18839	9122
539	18874	9087
540	18909	9052
541	18944	9017
542	18978	8982
543	19015	8948
544	19048	8912
545	19087	8879
546	19119	8843
547	19153	8807
548	19189	8773
549	19225	8738
550	19258	8703
551	19293	8668
552	19328	8633
553	19361	8597
554	19400	8564
555	19435	8529
556	19470	8494
557	19504	8459
558	19538	8423
559	19582	8392
560	19619	8358
561	19653	8323
562	19689	8288
563	19722	8252
564	19757	8217
565	19791	8182
566	19824	8146
567	19856	8110
568	19888	8074
569	19921	8038
570	19955	8003
571	19993	7969
572	20027	7934
573	20059	7898
574	20097	7864
575	20134	7830
576	20169	7795
577	20206	7760
578	20236	7724
579	20271	7689
580	20306	7654
581	20339	7618
582	20369	7581
583	20399	7545
584	20433	7509
585	20470	7475
586	20503	7439
587	20538	7404
588	20576	7371
589	20609	7335
590	20642	7299
591	20678	7265
592	20711	7229
593	20742	7193
594	20783	7160
595	20819	7126
596	20857	7092
597	20894	7058
598	20928	7022
599	20964	6988
600	20999	6953
601	21035	6918
602	21073	6884
603	21109	6850
604	21146	6815
605	21179	6780
606	21216	6745
607	21253	6711
608	21288	6676
609	21321	6641
610	21355	6605
611	21388	6570
612	21421	6534
613	21454	6499
614	21487	6463
615	21524	6429
616	21558	6394
617	21595	6359
618	21629	6324
619	21660	6288
620	21696	6254
621	21728	6218
622	21761	6182
623	21799	6148
624	21839	6114
625	21872	6079
626	21908	6044
627	21940	6009
628	21974	5973
629	22005	5938
630	22043	5903
631	22090	5872
632	22129	5838
633	22171	5805
634	22210	5771
635	22246	5736
636	22283	5702
637	22315	5666
638	22347	5630
639	22383	5595
640	22420	5561
641	22456	5526
642	22488	5491
643	22520	5455
644	22552	5419
645	22589	5385
646	22625	5350
647	22661	5315
648	22699	5281
649	22731	5245
650	22765	5210
651	22799	5175
652	22834	5140
653	22870	5105
654	22907	5071
655	22943	5036
656	22978	5001
657	23011	4966
658	23049	4931
659	23085	4896
660	23119	4861
661	23156	4827
662	23193	4792
663	23226	4757
664	23260	4722
665	23298	4687
666	23330	4652
667	23363	4616
668	23399	4581
669	23435	4547
670	23473	4512
671	23507	4477
672	23542	4442
673	23579	4408
674	23614	4373
675	23652	4338
676	23686	4303
677	23725	4269
678	23761	4234
679	23796	4199
680	23830	4164
681	23867	4129
682	23906	4095
683	23943	4060
684	23979	4025
685	24015	3990
686	24051	3956
687	24089	3921
688	24124	3886
689	24160	3851
690	24193	3816
691	24228	3781
692	24261	3746
693	24296	3710
694	24336	3676
695	24375	3642
696	24410	3607
697	24448	3572
698	24484	3537
699	24519	3502
700	24552	3467
701	24587	3432
702	24625	3397
703	24660	3362
704	24695	3327
705	24731	3292
706	24767	3257
707	24804	3223
708	24839	3188
709	24873	3152
710	24908	3117
711	24942	3082
712	24977	3047
713	25012	3012
714	25047	2977
715	25082	2942
716	25118	2907
717	25151	2872
718	25188	2837
719	25220	2802
720	25254	2767
721	25289	2732
722	25322	2696
723	25360	2662
724	25395	2627
725	25430	2592
726	25463	2556
727	25497	2521
728	25532	2486
729	25566	2451
730	25601	2416
731	25637	2381
732	25670	2346
733	25708	2311
734	25741	2276
735	25774	2241
736	25807	2206
737	25843	2171
738	25878	2136
739	25911	2100
740	25946	2065
741	25980	2030
742	26016	1995
743	26047	1960
744	26083	1925
745	26116	1890
746	26155	1855
747	26188	1820
748	26222	1785
749	26255	1750
750	26285	1715
751	26317	1679
752	26350	1644
753	26386	1609
754	26418	1574
755	26454	1539
756	26488	1504
757	26523	1469
758	26557	1434
759	26597	1399
760	26634	1364
761	26670	1330
762	26703	1294
763	26740	1260
764	26773	1224
765	26806	1189
766	26838	1154
767	26869	1119
768	26905	1084
769	26939	1049
770	26971	1014
771	27008	979
772	27043	944
773	27077	909
774	27113	874
775	27148	839
776	27182	804
777	27219	769
778	27255	734
779	27291	699
780	27325	664
781	27355	629
782	27392	594
783	27424	559
784	27455	524
785	27488	489
786	27522	454
787	27555	419
788	27591	384
789	27628	349
790	27661	314
791	27695	279
792	27729	244
793	27766	209
794	27799	174
795	27837	139
796	27874	104
797	27912	69
798	27948	34
799	27983	0
